budget,genres,original_language,revenue,runtime,vote_average,vote_count,director
165000000,Action Adventure Science Fiction,en,389681935,120.0,4.9,2491,Roland Emmerich
165000000,Fantasy Adventure Animation Family,en,494878759,98.0,7.5,4227,Chris Sanders
200000000,Action Thriller Science Fiction,en,435000000,109.0,5.9,2143,Jonathan Mostow
170000000,Action Science Fiction Adventure,en,773328629,121.0,7.9,9742,James Gunn
165000000,Adventure Drama Science Fiction,en,675120017,169.0,8.1,10867,Christopher Nolan
160000000,Action Thriller Science Fiction Mystery Adventure,en,825532764,148.0,8.1,13752,Christopher Nolan
15000000,Action Adventure Drama Horror Science Fiction,ja,77000000,120.0,6.5,143,Hideaki Anno
250000000,Adventure Fantasy Action,en,1021103568,169.0,7.0,8297,Peter Jackson
38000000,Action Crime Thriller,en,207283925,106.0,6.6,3428,Rob Cohen
150000000,Fantasy Drama Thriller Mystery Romance,en,333932083,166.0,7.3,3292,David Fincher
160000000,Action Science Fiction Adventure,en,353624124,132.0,7.1,5181,Matthew Vaughn
160000000,Action Adventure Science Fiction,en,653428261,137.0,6.6,3984,Francis Lawrence
150000000,Fantasy Adventure Action Comedy Drama,en,215283742,109.0,5.8,1470,Jon Turteltaub
160000000,Adventure Action Drama Thriller,en,181674817,99.0,5.5,583,Wolfgang Petersen
170000000,Fantasy,en,299370084,113.0,6.5,1725,James Bobin
160000000,Fantasy Adventure Animation Comedy Family,en,798958165,93.0,6.0,2278,Chris Miller
160000000,Action Adventure Fantasy,en,433677183,123.0,6.3,2268,Duncan Jones
155000000,Science Fiction Action Thriller Adventure,en,440603537,126.0,5.8,3631,Alan Taylor
155000000,Adventure Family Fantasy,en,415686217,113.0,6.2,1514,Michael Apted
140000000,History Romance War,en,449220945,183.0,6.6,1791,Michael Bay
150000000,Adventure Science Fiction Action,en,709709780,144.0,6.6,4040,Michael Bay
155000000,War History Action Adventure Drama,en,167298192,175.0,5.6,927,Oliver Stone
150000000,Adventure Fantasy Family Mystery,en,938212738,138.0,7.4,5494,David Yates
150000000,Adventure Fantasy Family,en,895921036,157.0,7.5,5608,Mike Newell
150000000,Fantasy Action,en,624029371,92.0,6.2,2961,Peter Berg
150000000,Drama Horror Action Thriller Science Fiction,en,585349010,101.0,6.9,4853,Francis Lawrence
150000000,Adventure Comedy Family Fantasy,en,474968763,115.0,6.7,3624,Tim Burton
150000000,Animation Comedy Family Fantasy,en,623722818,111.0,7.5,4369,Jan Pinkava
150000000,Action Crime Drama,en,374218673,140.0,7.5,7359,Christopher Nolan
150000000,Family Animation,en,603900354,89.0,6.2,1810,Eric Darnell
150000000,Adventure Fantasy Action Comedy Family,en,413106170,105.0,5.9,1971,Shawn Levy
150000000,Adventure Action Thriller Science Fiction,en,373062864,107.0,6.2,4021,Gavin Hood
150000000,Adventure Action Thriller Science Fiction,en,424988211,129.0,6.4,3096,Lilly Wachowski
150000000,Animation Adventure Family,en,1274219009,102.0,7.3,5295,Chris Buck
150000000,Adventure Action Thriller Science Fiction,en,738599701,138.0,6.7,3443,Lilly Wachowski
170000000,Action Adventure Fantasy,en,644571402,112.0,6.8,4755,Alan Taylor
150000000,Action Adventure Science Fiction Thriller,en,378858340,120.0,7.2,9427,George Miller
150000000,Thriller Mystery,en,356613439,138.0,6.5,2129,Ron Howard
150000000,Adventure Fantasy Action,en,449326618,115.0,6.6,6525,Kenneth Branagh
150000000,Animation Family Adventure Comedy,en,309979994,98.0,6.3,1750,Chris Williams
150000000,Fantasy Action Adventure Family Comedy,en,292817841,88.0,5.1,510,Hoyt Yeatman
150000000,Adventure,en,301000000,99.0,5.5,1431,Jonathan Liebesman
150000000,Comedy Fantasy,en,245527149,113.0,5.7,2320,Tim Burton
150000000,Action Adventure Thriller,en,682330139,131.0,7.1,3224,Christopher McQuarrie
150000000,Drama Horror Thriller,en,0,102.0,5.5,549,Joe Johnston
150000000,Family Animation Adventure Comedy,en,287594577,91.0,5.7,1171,Steve Hickner
150000000,Animation Family,en,665692281,91.0,6.7,1880,Jennifer Yuh Nelson
150000000,Action Adventure Family Fantasy,en,318502923,103.0,4.7,1151,M. Night Shyamalan
150000000,Adventure Action Thriller,en,397850012,126.0,6.5,2028,J.J. Abrams
150000000,Action Drama Thriller,en,205366737,131.0,6.4,1891,Roland Emmerich
150000000,Adventure Animation Family,en,38992758,88.0,5.5,199,Simon Wells
149000000,Adventure Animation Comedy Family,en,64459316,85.0,6.0,874,David Bowers
150000000,Adventure Family Fantasy,en,128388320,111.0,5.9,954,Joe Wright
145000000,Animation Adventure Family,en,272912430,92.0,6.7,843,Rob Minkoff
175000000,Adventure Drama War,en,497409852,163.0,6.9,2759,Wolfgang Petersen
145000000,Animation Family,en,746921274,93.0,6.4,1808,Conrad Vernon
140000000,Adventure Action Thriller,en,431971116,133.0,5.8,1092,Lee Tamahori
144000000,Action Fantasy Comedy,en,229147509,116.0,5.3,2142,Paul Feig
140000000,Action Thriller Science Fiction Adventure,en,553799566,151.0,6.4,2482,Michael Bay
140000000,Action Adventure Comedy Science Fiction,en,441818803,88.0,6.0,3114,Barry Sonnenfeld
70000000,Adventure Action Animation,en,195735876,115.0,5.5,841,Robert Zemeckis
145000000,Action Adventure Animation Comedy Family,en,521170825,95.0,6.7,1603,Jennifer Yuh Nelson
145000000,Action Thriller Adventure,en,694713380,133.0,6.8,3972,Brad Bird
145000000,Fantasy Animation Family,en,306941670,97.0,7.1,1922,Peter Ramsey
100000000,Comedy,en,202026112,90.0,5.9,627,Dean Parisot
140000000,Drama Action War History,en,456758981,154.0,7.3,1895,Edward Zwick
140000000,Adventure Drama Action,en,268031828,150.0,5.6,1921,Ridley Scott
150000000,Science Fiction Action Adventure,en,385680446,127.0,7.4,4518,J.J. Abrams
139000000,Fantasy Action,en,821708551,121.0,6.8,5265,Sam Raimi
145000000,Fantasy Action Adventure Animation Comedy,en,609123048,102.0,7.6,3106,Dean DeBlois
140000000,Fantasy,en,150680864,127.0,5.3,1277,Alex Proyas
135000000,Action,en,76932943,121.0,4.9,331,Rob Cohen
130000000,Action Mystery Science Fiction,en,185258983,163.0,7.0,2811,Zack Snyder
140000000,Action Adventure Comedy Crime Thriller,en,285444603,127.0,6.3,767,Richard Donner
137000000,Drama Action Science Fiction,en,245360480,138.0,5.3,1533,Ang Lee
130000000,Adventure Action Science Fiction Thriller,en,371876278,110.0,5.4,3025,Jon M. Chu
130000000,Action Adventure Comedy Drama Mystery,en,119269486,124.0,5.7,434,Breck Eisner
137000000,Adventure Action Animation Fantasy Science Fiction,en,85131830,106.0,5.9,433,Hironobu Sakaguchi
140000000,Action Adventure Science Fiction,en,370569774,124.0,6.6,7047,Joe Johnston
135000000,Adventure Action Thriller,en,361832400,128.0,6.0,862,Michael Apted
150000000,Adventure,en,212011111,138.0,6.9,790,Peter Weir
120000000,Adventure Fantasy Drama Romance,en,829000000,115.0,6.1,2553,Bill Condon
130000000,Animation Comedy Family,en,150406466,100.0,5.8,373,George Miller
150000000,Science Fiction Action Adventure,en,163712074,114.0,6.1,3021,Louis Leterrier
140000000,Adventure Family Fantasy,en,183345589,120.0,6.0,1000,Steven Spielberg
135000000,Western Drama Adventure Thriller,en,532950503,156.0,7.3,6396,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
135000000,Animation Family,en,282570682,96.0,6.1,1074,David Soren
135000000,Animation Comedy Family Western Adventure,en,245724603,107.0,6.6,2051,Gore Verbinski
132000000,Family Animation Adventure Comedy,en,373552094,92.0,6.5,1346,Eric Darnell
70000000,Action Drama Mystery Thriller,en,442824138,115.0,7.3,2888,Paul Greengrass
130000000,Adventure Animation Family Comedy,en,631744560,90.0,6.9,3145,Mark Osborne
130000000,Science Fiction Action Adventure,en,519311965,117.0,7.0,5880,Peyton Reed
130000000,Adventure Action Science Fiction,en,847423452,146.0,7.4,6495,Francis Lawrence
135000000,Fantasy Comedy Animation Science Fiction Family,en,368871007,94.0,6.8,1519,Tim Johnson
132000000,Adventure Thriller Science Fiction,en,591739379,116.0,6.2,2322,Steven Spielberg
130000000,Adventure Action Comedy Thriller Crime,en,273339556,147.0,6.3,1564,Michael Bay
130000000,Action Adventure Animation Family Fantasy,en,554987477,90.0,6.4,451,Chris Miller
110000000,Action Mystery Thriller,en,293329073,100.0,6.2,2093,Phillip Noyce
125000000,Drama Adventure,en,362637473,139.0,5.6,2350,Darren Aronofsky
130000000,Adventure Animation Mystery,en,371940071,107.0,6.7,2061,Steven Spielberg
130000000,Adventure Fantasy Family,en,789804554,141.0,7.7,5877,Alfonso Cuar\u00f3n
130000000,Drama,en,49554002,165.0,6.3,694,Baz Luhrmann
130000000,Science Fiction Action Adventure,en,243843127,100.0,5.0,2532,M. Night Shyamalan
127500000,Animation Family,en,354248063,82.0,6.2,542,Ralph Zondag
127000000,Adventure Comedy Fantasy Family,en,349424282,97.0,6.1,1851,Shawn Levy
130000000,Animation Action Comedy Family Science Fiction,en,321887208,95.0,6.7,1918,Tom McGrath
125000000,Adventure Fantasy Family,en,976475550,152.0,7.5,7006,Chris Columbus
130000000,Fantasy Action Comedy Crime,en,61648500,96.0,5.4,1260,Robert Schwentke
140000000,Adventure Fantasy Action,en,655011224,143.0,7.5,6985,Gore Verbinski
125000000,Science Fiction Adventure Thriller,en,752100229,123.0,6.6,5584,Francis Lawrence
125000000,Thriller Mystery,en,767820459,149.0,6.5,2704,Ron Howard
103000000,Animation Adventure Comedy Family,en,500188435,102.0,6.3,978,Carlos Saldanha
110000000,Adventure Action Science Fiction Thriller,en,407711549,133.0,6.8,3506,Bryan Singer
125000000,Action Thriller Crime,en,626137675,130.0,7.1,2438,Justin Lin
125000000,Adventure Action Crime Mystery,en,334615000,129.0,7.0,3886,Guy Ritchie
125000000,Adventure Fantasy Action,en,232713139,106.0,5.6,2233,Louis Leterrier
65000000,Action Adventure Science Fiction,en,261317921,113.0,7.1,1710,Paul Verhoeven
160000000,Adventure Fantasy Action,en,61698899,102.0,6.4,510,John McTiernan
130000000,Action Thriller,en,276572938,120.0,6.0,2651,Tony Gilroy
125000000,Action Crime Fantasy,en,238207122,125.0,4.2,1418,Joel Schumacher
123000000,Family Comedy Fantasy,en,345141403,104.0,6.2,1386,Ron Howard
125000000,Action Adventure Science Fiction Thriller,en,544272402,124.0,6.2,2392,Roland Emmerich
125000000,Adventure Action Thriller,en,546388105,123.0,5.9,1928,John Woo
120000000,Drama,en,325756637,130.0,6.2,597,Wolfgang Petersen
130000000,Adventure Fantasy Action Thriller,en,289047763,92.0,5.4,2589,Tim Story
120000000,Adventure Drama Action,en,609016565,127.0,7.2,5797,Ang Lee
110000000,Thriller Action Fantasy Horror,en,228738393,114.0,5.2,1712,Mark Steven Johnson
120000000,Action Thriller,en,415484914,123.0,5.9,2341,Paul Greengrass
120000000,Action Adventure Comedy,en,259175788,106.0,5.2,914,McG
130000000,Science Fiction Adventure Mystery,en,403170142,124.0,6.3,5080,Ridley Scott
120000000,Family Adventure Animation Comedy,en,169956806,78.0,5.4,613,Rob Minkoff
115000000,Science Fiction Action Drama Thriller,en,286140700,109.0,6.4,3439,Neill Blomkamp
105000000,Action Science Fiction,en,115772733,119.0,6.3,1570,David Twohy
120000000,Action Science Fiction,en,242688965,102.0,5.7,2342,Jos\u00e9 Padilha
120000000,Action Family Science Fiction,en,93945766,135.0,5.7,354,Lilly Wachowski
120000000,Comedy Drama Romance,en,48668907,121.0,4.9,223,James L. Brooks
117000000,Action Comedy,en,261930431,109.0,5.9,1547,James Mangold
120000000,Action Science Fiction Adventure Mystery,en,286168572,124.0,6.4,4800,Joseph Kosinski
113000000,Science Fiction Adventure Action,en,850000000,140.0,7.1,4116,George Lucas
120000000,Adventure Action Science Fiction,en,649398328,142.0,6.4,3992,George Lucas
115000000,Animation Comedy Family,en,562816256,92.0,7.5,5996,Pete Docter
120000000,Action Science Fiction Adventure Fantasy,en,415440673,126.0,6.3,4053,James Mangold
115000000,Adventure Action Science Fiction,en,924317558,136.0,6.3,4432,George Lucas
135000000,Adventure Animation Comedy Family Fantasy,en,585178928,98.0,6.8,2399,Chris Sanders
97250400,Fantasy Adventure Comedy Family,fr,132900000,116.0,5.0,471,Thomas Langmann
115000000,Drama Action History War,en,77628265,134.0,5.8,341,John Woo
115000000,Action Adventure Drama,en,164602163,114.0,6.0,1523,Cedric Nicolas-Troyan
125000000,Science Fiction Action Adventure Fantasy Comedy,en,477200000,101.0,5.8,2636,Jonathan Liebesman
105000000,Science Fiction Thriller Drama,en,716392705,91.0,7.3,5751,Alfonso Cuar\u00f3n
116000000,Action Adventure Thriller,en,178127760,108.0,5.7,428,Roger Donaldson
135000000,Fantasy Action Adventure Comedy,en,245623848,112.0,5.8,963,Dave Green
120000000,Action Adventure Science Fiction,en,167977596,100.0,4.4,2278,Josh Trank
110000000,Action Adventure Comedy Family Fantasy,en,574480841,108.0,6.3,2862,Shawn Levy
110000000,Action Drama Thriller,en,470490832,114.0,6.0,2968,Brad Peyton
110000000,Adventure Action Thriller,en,333011068,119.0,6.0,925,Roger Spottiswoode
110000000,Drama History War Action,en,215294342,165.0,6.8,1099,Roland Emmerich
110000000,Thriller Crime,en,362744280,125.0,6.4,2124,Steven Soderbergh
110000000,Action Comedy Drama Thriller,en,478207520,120.0,6.5,2965,Doug Liman
110000000,Adventure Science Fiction Thriller,en,295238201,119.0,6.2,3829,Robert Schwentke
116000000,Drama,en,102000000,170.0,7.0,1489,Martin Scorsese
112000000,Comedy,en,237382724,85.0,4.9,621,Rob Letterman
120000000,Action Crime Comedy,en,227817248,119.0,5.5,1251,Michel Gondry
110000000,Action War,en,337580051,102.0,6.1,2397,Noam Murro
110000000,Animation Family Adventure Comedy Fantasy,en,563749323,103.0,5.5,1179,Raja Gosnell
110000000,Animation Family,en,103951461,76.0,5.7,389,Will Finn
110000000,Adventure Science Fiction,en,179246868,121.0,5.9,1998,Robert Schwentke
110000000,Action Science Fiction Drama,en,299268508,127.0,6.6,2692,Shawn Levy
105000000,Fantasy Family Comedy Animation,en,347434178,105.0,5.5,695,Raja Gosnell
160000000,Action Adventure Thriller,en,164508066,121.0,4.1,434,Jan de Bont
110000000,Science Fiction Action Adventure,en,125537191,114.0,6.6,2303,Gavin Hood
110000000,Action Thriller,en,383531464,128.0,6.4,2089,Len Wiseman
93000000,Adventure Fantasy Action,en,871368364,178.0,8.0,8705,Peter Jackson
110000000,Action Adventure Comedy,en,72178895,120.0,5.7,672,Frank Coraci
107000000,Drama,en,87713825,157.0,6.7,447,Michael Mann
0,Comedy Fantasy Family,en,0,82.0,4.9,366,Bo Welch
120000000,Action Science Fiction,en,347234916,115.0,6.7,3793,Alex Proyas
130000000,Drama Action Adventure History War,en,211643158,144.0,6.6,1157,Ridley Scott
133000000,Animation Fantasy Family Comedy,en,300135367,84.0,5.8,959,Rob Minkoff
105000000,Romance Family Animation Music,en,267045765,97.0,6.7,1247,Ron Clements
108000000,Drama Adventure Science Fiction,en,630161890,141.0,7.6,7268,Ridley Scott
126000000,Action Thriller Science Fiction Adventure,en,162949164,136.0,6.5,1770,Michael Bay
90000000,Comedy Romance,en,10372291,104.0,3.7,16,Peter Chelsom
90000000,Action Crime Thriller,en,237202299,118.0,6.1,1485,Dominic Sena
103000000,Action Drama Adventure,en,457640427,155.0,7.9,5439,Ridley Scott
102000000,Action Thriller Science Fiction Mystery,en,358372926,145.0,7.1,2608,Steven Spielberg
100000000,Adventure Fantasy Family,en,876688482,161.0,7.4,5815,Chris Columbus
150000000,Adventure Action Thriller,en,599045960,144.0,7.3,3855,Martin Campbell
100000000,Thriller Science Fiction Action Adventure,en,362211740,119.0,5.6,1243,Tim Burton
100000000,Action Thriller Science Fiction,en,520000000,137.0,7.7,4185,James Cameron
80000000,History Crime Drama,en,214104620,140.0,6.5,1344,Michael Mann
100000000,Drama Crime,en,266465037,157.0,7.4,1502,Ridley Scott
115000000,Action Thriller,en,378882411,141.0,6.8,1116,James Cameron
100000000,Thriller Drama Crime,en,150166126,106.0,6.2,954,Tony Scott
100000000,Comedy Romance,en,310650585,98.0,5.4,1060,Paul Weitz
100000000,Action Comedy Crime,en,170432927,107.0,6.1,1383,Adam McKay
100000000,Action Drama Mystery Thriller,en,242295562,115.0,5.6,543,Chuck Russell
100000000,Drama Western,en,425368238,165.0,7.8,10099,Quentin Tarantino
100000000,Drama Animation Family,en,100138851,91.0,6.8,1129,Gary Trousdale
100000000,Adventure Animation Comedy Family Fantasy,en,169327687,78.0,7.2,1490,Mark Dindal
100000000,Action Adventure Thriller,en,312573423,103.0,6.1,2896,Simon West
100000000,Adventure Action Thriller Mystery,en,347451894,131.0,6.4,1926,Jon Turteltaub
100000000,Fantasy Action Adventure Family,en,249288105,104.0,4.9,967,Stefen Fangmeier
100000000,Family Fantasy,en,100086793,101.0,6.4,572,Spike Jonze
100000000,Animation Adventure Family Fantasy,en,268426634,102.0,6.4,1121,Chris Wedge
100000000,Action Thriller Romance,en,278731369,103.0,6.0,1699,Florian Henckel von Donnersmarck
100000000,Action Fantasy Horror Mystery,en,211989043,121.0,5.5,482,Peter Hyams
100000000,Drama Thriller Action,en,170877916,143.0,7.3,2281,Edward Zwick
100000000,Crime Drama Comedy,en,392000694,180.0,7.9,6571,Martin Scorsese
100000000,Action Crime Fantasy,en,336529144,121.0,5.2,1498,Joel Schumacher
105000000,Adventure Action Thriller Science Fiction,en,121214377,129.0,6.7,1560,Paul Verhoeven
102000000,Drama Science Fiction,en,130482868,172.0,6.6,2977,Tom Tykwer
80000000,Animation Adventure Family Fantasy,en,140073390,97.0,6.5,703,Zack Snyder
100000000,Action Crime,en,82102379,104.0,4.2,808,Pitof
100000000,Action Adventure,en,243400000,99.0,5.6,1680,Brett Ratner
140000000,Adventure Animation Family Fantasy Science Fiction,en,109578115,95.0,7.2,948,Ron Clements
100000000,Adventure Comedy Science Fiction,en,68688831,102.0,5.3,381,Brad Silberling
90000000,Action Adventure Thriller,en,206172544,127.0,6.1,1795,Patrick Hughes
105000000,Action Crime Thriller,en,133718711,114.0,5.5,783,Ericson Core
84000000,Fantasy Comedy Family Adventure,en,0,94.0,3.6,338,Lawrence Guterman
100000000,Thriller Drama Adventure Action History,en,93820758,122.0,6.5,1276,Ron Howard
100000000,Action Comedy Science Fiction,en,7103973,95.0,4.4,142,Ron Underwood
100000000,War Action Adventure Drama Thriller,en,94882889,115.0,6.4,717,Paul Greengrass
99000000,Animation,en,246233113,88.0,6.5,604,Steve Martino
10000000,Crime Drama Mystery Thriller,en,13835130,110.0,7.1,73,David Mamet
98000000,Adventure Action Fantasy,en,433013274,130.0,6.0,2206,Stephen Sommers
100000000,Drama History Crime,en,193772504,167.0,7.1,1910,Martin Scorsese
94000000,Drama History War,zh,95311434,145.0,7.1,187,Zhang Yimou
85000000,Animation Comedy Family,en,149044513,85.0,5.9,601,Ash Brannon
90000000,Action Comedy Science Fiction,en,102000000,93.0,5.4,334,Frank Oz
92000000,Action History War,en,172989651,144.0,7.2,1811,Ridley Scott
0,Comedy,en,104907746,85.0,5.6,578,Jay Roach
90000000,Adventure Fantasy Action Thriller Science Fiction,en,263920180,126.0,7.3,3885,Luc Besson
100000000,Comedy Drama Romance,en,288347692,146.0,5.4,426,Michael Patrick King
95000000,Adventure Animation Comedy Family,en,76432727,89.0,7.0,858,Don Michael Paul
95000000,Animation Comedy Adventure Family,en,877244782,88.0,6.2,2672,Steve Martino
95000000,Romance Fantasy Family Drama,en,543514353,105.0,6.7,2374,Kenneth Branagh
65000000,Fantasy Drama,en,93525586,136.0,6.6,1065,Peter Jackson
94000000,Animation Family,en,940335536,100.0,7.6,6122,Andrew Stanton
94000000,Adventure Fantasy Action,en,1118888979,201.0,8.1,8064,Peter Jackson
79000000,Adventure Fantasy Action,en,926287400,179.0,8.0,7487,Peter Jackson
95000000,Adventure Fantasy,en,114178613,102.0,5.2,957,Sergei Bodrov
115000000,Adventure Fantasy Action Thriller,en,274703340,100.0,5.7,2192,Simon West
100000000,Thriller Science Fiction Drama Mystery,en,103039258,119.0,5.9,2295,Wally Pfister
93000000,Adventure Action Thriller Science Fiction,en,368780809,92.0,5.7,2077,Joe Johnston
